index,Country,lat,lon
249,Timor-Leste,-8.874217,125.727539
250,Togo,8.6195,0.8248
251,Tonga,-21.179,-175.1982
252,Trinidad and Tobago,10.6918,-61.2225
253,Tunisia,33.886917,9.537499
254,Turkey,38.9637,35.2433
255,US,40.0,-100.0
256,Uganda,1.373333,32.290275
257,Ukraine,48.3794,31.1656
258,United Arab Emirates,23.424076,53.847818
259,United Kingdom,18.2206,-63.0686
271,Uruguay,-32.5228,-55.7658
272,Uzbekistan,41.377491,64.585262
273,Vanuatu,-15.3767,166.9592
274,Venezuela,6.4238,-66.5897
275,Vietnam,14.058324,108.277199
276,West Bank and Gaza,31.9522,35.2332
277,Yemen,15.552727,48.516388
278,Zambia,-13.133897,27.849332
279,Zimbabwe,-19.015438,29.154857
